accuracy,loss,val_accuracy,val_loss,learning_rate
0.6485714316368103,0.7003202438354492,0.8835033774375916,0.34659501910209656,0.0010000000474974513
0.8725714087486267,0.3295449912548065,0.9396258592605591,0.16223126649856567,0.0010000000474974513
0.8982856869697571,0.2773944139480591,0.9511054158210754,0.13024529814720154,0.0010000000474974513
0.9158095121383667,0.22830531001091003,0.9570578336715698,0.10742714256048203,0.0010000000474974513
0.9298095107078552,0.19869448244571686,0.9596088528633118,0.09681358933448792,0.0010000000474974513
0.9374285936355591,0.18313148617744446,0.9706632494926453,0.07635996490716934,0.0010000000474974513
0.9449523687362671,0.16494372487068176,0.9702380895614624,0.07701278477907181,0.0010000000474974513
0.9483809471130371,0.1626366674900055,0.9634353518486023,0.08370492607355118,0.0010000000474974513
0.9512380957603455,0.14577195048332214,0.9757652878761292,0.06341567635536194,0.0010000000474974513
0.9574285745620728,0.13429565727710724,0.9647108912467957,0.08561650663614273,0.0010000000474974513
0.9608571529388428,0.12937261164188385,0.9783163070678711,0.05310925841331482,0.0010000000474974513
0.9657142758369446,0.1103711649775505,0.9719387888908386,0.06503249704837799,0.0010000000474974513
0.9678094983100891,0.11103717982769012,0.9749149680137634,0.06035705655813217,0.0010000000474974513
0.9679047465324402,0.09628862142562866,0.976190447807312,0.05261534824967384,0.0010000000474974513
0.9715238213539124,0.08957760035991669,0.9778911471366882,0.05366635322570801,0.0010000000474974513
0.973714292049408,0.08672383427619934,0.978741466999054,0.05310794711112976,0.0010000000474974513
0.975428581237793,0.08065605908632278,0.9766156673431396,0.05652986839413643,0.0010000000474974513
0.9776190519332886,0.07638990879058838,0.978741466999054,0.04695754870772362,0.0010000000474974513
0.9789524078369141,0.07722167670726776,0.9749149680137634,0.059358447790145874,0.0010000000474974513
0.9778095483779907,0.07382412254810333,0.9795918464660645,0.04557504504919052,0.0010000000474974513
0.979619026184082,0.06494337320327759,0.9804421663284302,0.05021529644727707,0.0010000000474974513
0.9794285893440247,0.06749730557203293,0.978741466999054,0.04714863747358322,0.0010000000474974513
0.9815238118171692,0.0612013041973114,0.9829931855201721,0.043502915650606155,0.0010000000474974513
0.9833333492279053,0.05711353197693825,0.9842687249183655,0.04261535406112671,0.0010000000474974513
0.9845714569091797,0.052951909601688385,0.9821428656578064,0.0399436317384243,0.0010000000474974513
0.9833333492279053,0.05894120782613754,0.9829931855201721,0.04509728029370308,0.0010000000474974513
0.9858095049858093,0.05207573622465134,0.9800170063972473,0.047045379877090454,0.0010000000474974513
0.9861904978752136,0.04621146246790886,0.9851190447807312,0.0426955372095108,0.0010000000474974513
0.9847618937492371,0.04488401487469673,0.9825680255889893,0.05000710487365723,0.0010000000474974513
0.9892380833625793,0.03497570380568504,0.9851190447807312,0.041433826088905334,0.0005000000237487257
0.9903809428215027,0.03443305939435959,0.9855442047119141,0.04167637974023819,0.0005000000237487257
0.9912381172180176,0.03206132352352142,0.9851190447807312,0.044526100158691406,0.0005000000237487257
0.9901905059814453,0.03008464351296425,0.9855442047119141,0.044628988951444626,0.0005000000237487257
