accuracy,loss,val_accuracy,val_loss,learning_rate
0.670823872089386,0.784606397151947,0.9074074029922485,0.3265400528907776,0.0010000000474974513
0.8892667889595032,0.3598652482032776,0.9241622686386108,0.18995201587677002,0.0010000000474974513
0.9098639488220215,0.2812611758708954,0.929894208908081,0.16350601613521576,0.0010000000474974513
0.918461799621582,0.2373999059200287,0.9382715821266174,0.1499457061290741,0.0010000000474974513
0.9268707633018494,0.2029149979352951,0.9470899701118469,0.11975588649511337,0.0010000000474974513
0.9366024136543274,0.1661883443593979,0.9444444179534912,0.1246466264128685,0.0010000000474974513
0.9427437782287598,0.16167694330215454,0.9594356417655945,0.09975120425224304,0.0010000000474974513
0.9467120170593262,0.14226333796977997,0.9563491940498352,0.10624320060014725,0.0010000000474974513
0.9473733901977539,0.12885130941867828,0.959876537322998,0.09360317140817642,0.0010000000474974513
0.9497354626655579,0.12165699899196625,0.9589946866035461,0.09547138959169388,0.0010000000474974513
0.9516251087188721,0.12164713442325592,0.9611992835998535,0.08588316291570663,0.0010000000474974513
0.9587112665176392,0.10874991863965988,0.9651675224304199,0.0820070132613182,0.0010000000474974513
0.9603174328804016,0.10397711396217346,0.9629629850387573,0.08035744726657867,0.0010000000474974513
0.9619236588478088,0.08856578916311264,0.9638447761535645,0.08917737007141113,0.0010000000474974513
0.9617347121238708,0.09636825323104858,0.9695767164230347,0.06981505453586578,0.0010000000474974513
0.9652305245399475,0.08500030636787415,0.971781313419342,0.06591658294200897,0.0010000000474974513
0.9657974243164062,0.07992585003376007,0.9611992835998535,0.08756284415721893,0.0010000000474974513
0.96409672498703,0.08074033260345459,0.9691358208656311,0.06911180913448334,0.0010000000474974513
0.9678760170936584,0.07349183410406113,0.9664903283119202,0.07320801168680191,0.0010000000474974513
0.9697656631469727,0.07704081386327744,0.9695767164230347,0.06986086070537567,0.0010000000474974513
0.9710884094238281,0.06665779650211334,0.9735449552536011,0.06152380257844925,0.0005000000237487257
0.9721277356147766,0.05777624621987343,0.972663164138794,0.06376885622739792,0.0005000000237487257
0.9730725884437561,0.06025677174329758,0.9757495522499084,0.056963372975587845,0.0005000000237487257
0.976095974445343,0.051451195031404495,0.9739859104156494,0.0556565560400486,0.0005000000237487257
0.976001501083374,0.0520395003259182,0.971781313419342,0.06325030326843262,0.0005000000237487257
0.9762849807739258,0.05436870828270912,0.9739859104156494,0.055625077337026596,0.0005000000237487257
0.976095974445343,0.05389084666967392,0.9735449552536011,0.05812019482254982,0.0005000000237487257
0.978363573551178,0.050198283046483994,0.9748677015304565,0.057907890528440475,0.0005000000237487257
0.976095974445343,0.04840421676635742,0.9766314029693604,0.05455430969595909,0.0002500000118743628
0.9771353006362915,0.04695544019341469,0.9753086566925049,0.054237205535173416,0.0002500000118743628
0.9776077270507812,0.0447041317820549,0.9775132536888123,0.052880726754665375,0.0002500000118743628
0.9808201193809509,0.04301585257053375,0.9748677015304565,0.05638414993882179,0.0002500000118743628
0.9811980128288269,0.03969821706414223,0.9788359999656677,0.050386231392621994,0.0002500000118743628
0.9777966737747192,0.04355528950691223,0.9783950448036194,0.05416212975978851,0.0002500000118743628
0.978552520275116,0.0425276942551136,0.9766314029693604,0.0572686493396759,0.0002500000118743628
0.9777966737747192,0.04608142003417015,0.9779541492462158,0.05163627490401268,0.0002500000118743628
0.9790249466896057,0.0455695241689682,0.976190447807312,0.05080001428723335,0.0002500000118743628
0.9811035394668579,0.0322304368019104,0.9783950448036194,0.04489602521061897,0.0001250000059371814
0.9823318123817444,0.03657174110412598,0.9797177910804749,0.04733036085963249,0.0001250000059371814
0.9806311130523682,0.0366949699819088,0.9788359999656677,0.04931502789258957,0.0001250000059371814
0.9831821322441101,0.03388769552111626,0.9775132536888123,0.0494321770966053,0.0001250000059371814
0.9832766652107239,0.03209616616368294,0.9792768955230713,0.047156888991594315,0.0001250000059371814
0.9820483922958374,0.03011775016784668,0.9805996417999268,0.04501659795641899,6.25000029685907e-05
0.9821428656578064,0.032894302159547806,0.9792768955230713,0.0445491187274456,6.25000029685907e-05
0.9813870191574097,0.035190507769584656,0.9792768955230713,0.047455091029405594,6.25000029685907e-05
0.9816704392433167,0.03466450423002243,0.9792768955230713,0.047708895057439804,6.25000029685907e-05
0.9838435649871826,0.031047116965055466,0.9797177910804749,0.045812226831912994,6.25000029685907e-05
0.9839380383491516,0.03174743056297302,0.9801587462425232,0.046787798404693604,6.25000029685907e-05
0.9836545586585999,0.031719617545604706,0.9792768955230713,0.04797666519880295,3.125000148429535e-05
0.9818593859672546,0.030186526477336884,0.9801587462425232,0.04599375277757645,3.125000148429535e-05
0.9838435649871826,0.029665037989616394,0.9805996417999268,0.044499751180410385,3.125000148429535e-05
0.9835600852966309,0.03315262869000435,0.9814814925193787,0.04521014913916588,3.125000148429535e-05
0.9829931855201721,0.032066311687231064,0.9810405373573303,0.04530598968267441,1.5625000742147677e-05
0.9843159317970276,0.029807940125465393,0.9810405373573303,0.04540787264704704,1.5625000742147677e-05
0.9832766652107239,0.032040491700172424,0.9805996417999268,0.04510459303855896,1.5625000742147677e-05
0.9826152920722961,0.03519197553396225,0.9801587462425232,0.04582514241337776,1.5625000742147677e-05
0.9833711385726929,0.028767047449946404,0.9805996417999268,0.04566704109311104,9.999999747378752e-06
0.9831821322441101,0.03421143442392349,0.9801587462425232,0.04543756693601608,9.999999747378752e-06
0.9832766652107239,0.033813875168561935,0.9801587462425232,0.045713990926742554,9.999999747378752e-06
